name,people,range,sharedCM,sharedSegments,G1,G2,G3,G4,G5,G6,G7,G8
match 1,0,SECOND_COUSIN,295.448211669922,19,TRUE,,,,,,,
match 2,230,SECOND_COUSIN,286.756713867188,14,TRUE,,,,,,,TRUE
match 3,592,SECOND_COUSIN,206.485992431641,10,,TRUE,,,,,,
match 4,0,THIRD_COUSIN,198.593505859375,11,,TRUE,,,,,,
match 5,7,THIRD_COUSIN,187.504592895508,9,TRUE,,,,,TRUE,,TRUE
match 6,0,THIRD_COUSIN,185.5751953125,7,,,TRUE,,,,,
match 7,46785,THIRD_COUSIN,181.97900390625,10,TRUE,TRUE,,,,,,
match 8,0,THIRD_COUSIN,168.496719360352,6,,,,TRUE,,,,
match 9,0,THIRD_COUSIN,164.927780151367,11,TRUE,,,,,,,
match 10,592,THIRD_COUSIN,161.314407348633,6,,TRUE,,,,,,
match 11,0,THIRD_COUSIN,152.481002807617,7,,,TRUE,TRUE,,,,
match 12,0,THIRD_COUSIN,139.921600341797,6,TRUE,,,,,,,TRUE
match 13,4833,THIRD_COUSIN,138.714004516602,7,TRUE,,,,,TRUE,,
match 14,3,THIRD_COUSIN,129.697631835938,8,TRUE,,,,,,,TRUE
match 15,592,THIRD_COUSIN,128.501998901367,8,,TRUE,,,,,,
match 16,0,THIRD_COUSIN,125.583503723145,7,,TRUE,,,,,,
match 17,17,THIRD_COUSIN,121.819999694824,7,,,,TRUE,,,,
match 18,83,THIRD_COUSIN,121.208999633789,6,TRUE,,,,,,,
match 19,14198,THIRD_COUSIN,117.535301208496,7,TRUE,,,,,TRUE,,
match 20,0,THIRD_COUSIN,116.419700622559,7,,,TRUE,,,,,
match 21,0,THIRD_COUSIN,113.652900695801,6,,,,,TRUE,,,
match 22,0,THIRD_COUSIN,112.236000061035,7,,,,,,TRUE,,
match 23,0,THIRD_COUSIN,109.494201660156,8,,,TRUE,,,,,
match 24,0,THIRD_COUSIN,108.315299987793,7,TRUE,,,,,,,
match 25,79,THIRD_COUSIN,108.082099914551,6,,TRUE,,,TRUE,,,
match 26,0,THIRD_COUSIN,105.900802612305,5,TRUE,,,,,TRUE,,
match 27,0,THIRD_COUSIN,104.569000244141,7,,,,,TRUE,,,
match 28,55,THIRD_COUSIN,101.385040283203,6,TRUE,,,,,,,TRUE
match 29,32,THIRD_COUSIN,98.5826034545898,7,,,TRUE,TRUE,,,,
match 30,272,THIRD_COUSIN,97.6949996948242,6,,,,,,,TRUE,
match 31,19,THIRD_COUSIN,97.5799865722656,6,,,,,,,,TRUE
match 32,0,THIRD_COUSIN,96.5308990478516,5,TRUE,,,,,TRUE,,TRUE
match 33,0,THIRD_COUSIN,96.0281982421875,4,TRUE,,,,,,,
match 34,2139,THIRD_COUSIN,95.564697265625,5,TRUE,,,,,,,
match 35,881,THIRD_COUSIN,95.4718017578125,7,,,,,TRUE,,,
match 36,29,THIRD_COUSIN,94.8102035522461,5,TRUE,,,,,,,
match 37,0,THIRD_COUSIN,94.7513580322266,4,,,,TRUE,,,,
match 38,0,THIRD_COUSIN,92.5516967773438,5,TRUE,,,,,,,
match 39,23,THIRD_COUSIN,92.4669036865234,3,,,TRUE,,,,,
match 40,0,THIRD_COUSIN,92.4521026611328,3,,,,TRUE,,,,
match 41,0,THIRD_COUSIN,91.4660034179687,4,,,,,TRUE,,,
match 42,4833,THIRD_COUSIN,90.2593002319336,5,,,,,,TRUE,,
